UTC,S31 Heat demand (%),S32 Heat demand (%),S41 Heat demand (%),Outside temp (0.1 °C),Building Semtex OFFICE (kWh)
1/1/2022 0:00, 0.000143445900 , 0.000152027600 , 0.000326361100 , 20.00 , 40.24 
1/1/2022 1:00, 0.000140006500 , 0.000154130200 , 0.000364070100 , 18.00 , 45.79 
1/1/2022 2:00, 0.000153853500 , 0.000157139000 , 0.000343011900 , 11.00 , 43.03 
1/1/2022 3:00, 0.000177603500 , 0.000162697700 , 0.000316552800 , 10.00 , 44.63 
1/1/2022 4:00, 0.000192940800 , 0.000173802000 , 0.000290086000 , 3.00 , 44.68 
1/1/2021 5:00, 0.000257687800 , 0.000240779700 , 0.000276972600 , 6.00 , 49.13 
1/1/2021 6:00, 0.000268755700 , 0.000266552500 , 0.000269192600 , 9.00 , 56.27 
1/1/2021 7:00, 0.000284864800 , 0.000279242600 , 0.000261616400 , 7.00 , 57.72 
1/1/2021 8:00, 0.000276310300 , 0.000275203900 , 0.000255898500 , 14.00 , 55.78 
1/1/2021 9:00, 0.000272798400 , 0.000261251600 , 0.000269417200 , 19.00 , 55.01 
1/1/2021 10:00, 0.000268599300 , 0.000248292700 , 0.000303182800 , 45.00 , 56.81 
1/1/2021 11:00, 0.000257251600 , 0.000232769700 , 0.000321496600 , 50.00 , 54.06 
1/1/2021 12:00, 0.000260655400 , 0.000224312000 , 0.000317760100 , 46.00 , 53.27 
1/1/2021 13:00, 0.000262997400 , 0.000212712400 , 0.000302166500 , 41.00 , 51.75 
1/1/2021 14:00, 0.000256087700 , 0.000205278100 , 0.000285159100 , 38.00 , 48.96 
1/1/2021 15:00, 0.000256112500 , 0.000203859300 , 0.000253864100 , 35.00 , 45.97 
1/1/2021 16:00, 0.000251874000 , 0.000197434000 , 0.000193818700 , 29.00 , 44.83 
1/1/2021 17:00, 0.000238503200 , 0.000187164900 , 0.000141062200 , 33.00 , 36.18 
1/1/2021 18:00, 0.000236798500 , 0.000183581600 , 0.000117453200 , 31.00 , 35.62 
1/1/2021 19:00, 0.000221344000 , 0.000176847300 , 0.000111927000 , 27.00 , 35.38 
1/1/2021 20:00, 0.000192180700 , 0.000166454600 , 0.000111920700 , 29.00 , 31.92 
1/1/2021 21:00, 0.000165546000 , 0.000160002800 , 0.000116592600 , 28.00 , 30.94 
1/1/2021 22:00, 0.000149147100 , 0.000153607400 , 0.000129822400 , 24.00 , 27.52 
1/1/2021 23:00, 0.000151029600 , 0.000151534200 , 0.000152842400 , 24.00 , 29.28 
1/2/2021 0:00, 0.000140790700 , 0.000152404200 , 0.000243764600 , 22.00 , 36.46 
1/2/2021 1:00, 0.000137861600 , 0.000154514500 , 0.000343420400 , 22.00 , 40.89 
1/2/2021 2:00, 0.000151654900 , 0.000157532700 , 0.000395004500 , 20.00 , 49.18 
1/2/2021 3:00, 0.000175493800 , 0.000163106300 , 0.000374917300 , 20.00 , 45.85 
1/2/2021 4:00, 0.000190871000 , 0.000174195600 , 0.000339323700 , 19.00 , 48.73 
1/2/2021 5:00, 0.000237744900 , 0.000216770200 , 0.000313331500 , 16.00 , 53.01 
1/2/2021 6:00, 0.000246981300 , 0.000232973100 , 0.000295368400 , 17.00 , 50.58 
1/2/2021 7:00, 0.000263634000 , 0.000241988800 , 0.000284926500 , 19.00 , 54.02 
1/2/2021 8:00, 0.000268618200 , 0.000237131600 , 0.000277770200 , 22.00 , 53.51 
1/2/2021 9:00, 0.000262174100 , 0.000224057700 , 0.000280348200 , 26.00 , 52.80 
1/2/2021 10:00, 0.000253405900 , 0.000214448100 , 0.000295835600 , 30.00 , 53.05 
1/2/2021 11:00, 0.000245946400 , 0.000200912600 , 0.000305416400 , 34.00 , 51.06 
1/2/2021 12:00, 0.000245799400 , 0.000193785500 , 0.000299223600 , 36.00 , 50.52 
1/2/2021 13:00, 0.000249268200 , 0.000189211400 , 0.000286304600 , 36.00 , 47.44 
1/2/2021 14:00, 0.000252345100 , 0.000189981600 , 0.000272603200 , 36.00 , 49.52 
1/2/2021 15:00, 0.000258652100 , 0.000196271300 , 0.000246316000 , 35.00 , 46.24 
1/2/2021 16:00, 0.000267890100 , 0.000199149100 , 0.000198192500 , 36.00 , 44.02 
